Station_number,Station,LatitudeN,LongitudeE
1,Flensburg Fjord,54.456316,10.199048
2,Schlei Estuary,54.676933,10.035239
3,Kiel Bülk,54.455099,10.199591
4,Fehmarn sheltered,54.428393,11.096681
5,Fehmarn exposed,54.521079,11.183021
6,Trave Estuary,53.979649,10.884607
7,Wismar Lagoon,54.050443,11.505026
8,Warnow Estuary,54.182346,12.077222
9,Hiddensee,54.558656,13.093726
10,Rügen exposed,54.403306,13.671319
11,Rügen sheltered,54.155603,13.646415
12,Helgoland,54.189646,7.871364
13,List auf Sylt,55.036623,8.446304
14,Nysted,54.638301,11.781575
15,Klint,54.969804,12.564
16,Oresund Bucht,55.571556,12.354077
17,Oresund,56.068807,12.60302
18,Großer Belt,55.213377,10.897265
19,Nordskov,55.63292,10.610214
20,Halk Hoved,55.192085,9.703923
21,Fredericia,55.586014,9.795609
22,Beder,56.065962,10.278262
23,Voldby,56.478149,10.941728
24,Byrum,57.33316,11.021411
25,Skagen,57.758819,10.657337
26,Varberg,57.100265,12.196067
27,Gotland,57.696739,18.950009
28,Norrtälje,59.788254,19.304851
29,Hirtshals,57.578848,9.894708
30,Stenbjerg,56.973724,8.364126
31,Esbjerg,55.450213,8.314349